[     208ms] [WARNING] "shadow*" style props are deprecated. Use "boxShadow". @ http://localhost:10001/index.ts.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app&unstable_transformProfile=hermes-stable:19705
[     216ms] [WARNING] [expo-av]: Expo AV has been deprecated and will be removed in SDK 54. Use the `expo-audio` and `expo-video` packages to replace the required functionality. @ http://localhost:10001/index.ts.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app&unstable_transformProfile=hermes-stable:104252
[     944ms] [WARNING] props.pointerEvents is deprecated. Use style.pointerEvents @ http://localhost:10001/index.ts.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app&unstable_transformProfile=hermes-stable:19705
[  805432ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[  810433ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[  815439ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[  820439ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[  825442ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[  830445ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[  835449ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[  840451ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[  845455ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[  850459ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[  855462ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[  860467ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[  865472ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[  870476ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[  875486ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[  880493ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[  885496ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[  890503ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[  895507ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[  900510ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[  905513ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[  910516ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
